"volcano_number" "volcano_name" "eruption_number" "eruption_category" "area_of_activity" "vei" "start_year" "start_month" "start_day" "evidence_method_dating" "end_year" "end_month" "end_day" "latitude" "longitude" "start_date" "end_date" "eruption_length_in_days"
"104" 264100 "Ebulobo" 22211 "Uncertain Eruption" NA NA 2017 3 12 "Historical Observations" 2017 3 12 -8.817 121.191 2017-03-12 2017-03-12 0
"105" 262000 "Krakatau" 22188 "Confirmed Eruption" "Summit crater" "1" 2017 2 19 "Historical Observations" 2017 2 19 -6.102 105.423 2017-02-19 2017-02-19 0
"106" 344020 "San Cristobal" 22269 "Confirmed Eruption" NA "1" 2017 2 18 "Historical Observations" 2017 4 19 12.702 -87.004 2017-02-18 2017-04-19 60
"107" 233020 "Fournaise, Piton de la" 22184 "Confirmed Eruption" NA "0" 2017 1 31 "Historical Observations" 2017 2 27 -21.244 55.708 2017-01-31 2017-02-27 27
"108" 243030 "Unnamed" 22185 "Confirmed Eruption" NA "0" 2017 1 23 "Historical Observations" 2017 1 31 -20.852 -175.55 2017-01-23 2017-01-31 8
"109" 260010 "Barren Island" 22187 "Confirmed Eruption" NA "2" 2017 1 15 "Historical Observations" 2017 5 16 12.278 93.858 2017-01-15 2017-05-16 121
"110" 343100 "San Miguel" 22192 "Confirmed Eruption" NA "1" 2017 1 7 "Historical Observations" 2017 1 7 13.434 -88.269 2017-01-07 2017-01-07 0
"111" 311300 "Bogoslof" 22182 "Confirmed Eruption" NA "3" 2016 12 20 "Historical Observations" 2017 8 30 53.93 -168.03 2016-12-20 2017-08-30 253
"112" 290260 "Chirinkotan" 22175 "Confirmed Eruption" NA "3" 2016 11 29 "Historical Observations" 2017 4 7 48.98 153.48 2016-11-29 2017-04-07 129
"113" 223020 "Nyamuragira" 22202 "Confirmed Eruption" NA "0" 2016 11 27 "Historical Observations" 2017 5 2 -1.408 29.2 2016-11-27 2017-05-02 156
"114" 300120 "Zhupanovsky" 22177 "Confirmed Eruption" NA "2" 2016 11 20 "Historical Observations" 2016 11 20 53.589 159.15 2016-11-20 2016-11-20 0
