"year" "core_loc" "value"
"705" 676.625 "neem" 12.23
"706" 676.625 "wdc" 8.4533
"707" 676.542 "neem" 11.53
"708" 676.542 "wdc" 9.3575
"709" 676.458 "neem" 12.22
"710" 676.458 "wdc" 10.43
"711" 676.375 "neem" 13.25
"712" 676.375 "wdc" 12.437
"713" 676.292 "neem" 12.95
"714" 676.292 "wdc" 12.14
"715" 676.208 "neem" 11.58
"716" 676.208 "wdc" 11.363
"717" 676.125 "neem" 10.68
"718" 676.125 "wdc" 10.141
"719" 676.042 "neem" 9.73
"720" 676.042 "wdc" 8.6747
"721" 675.958 "neem" 9.05
"722" 675.958 "wdc" 7.5378
"723" 675.875 "neem" 8.94
"724" 675.875 "wdc" 6.6544
"725" 675.792 "neem" 9.23
"726" 675.792 "wdc" 6.0425
"727" 675.708 "neem" 10.45
"728" 675.708 "wdc" 6.3213
"729" 675.625 "neem" 12.04
"730" 675.625 "wdc" 7.821
"731" 675.542 "neem" 13.31
"732" 675.542 "wdc" 10.96
"733" 675.458 "neem" 14.88
"734" 675.458 "wdc" 14.295
"735" 675.375 "neem" 16.94
"736" 675.375 "wdc" 15.079
"737" 675.292 "neem" 18.44
"738" 675.292 "wdc" 13.768
"739" 675.208 "neem" 19.16
"740" 675.208 "wdc" 11.41
"741" 675.125 "neem" 19.12
"742" 675.125 "wdc" 8.9582
"743" 675.042 "neem" 17.67
"744" 675.042 "wdc" 7.4458
"745" 674.958 "neem" 16.47
"746" 674.958 "wdc" 6.3695
"747" 674.792 "neem" 10.31
"748" 674.792 "wdc" 6.2215
"749" 674.708 "neem" 9.9
"750" 674.708 "wdc" 6.4059
"751" 674.625 "neem" 9.63
"752" 674.625 "wdc" 7.0682
"753" 674.542 "neem" 9.54
"754" 674.542 "wdc" 8.6642
"755" 674.458 "neem" 8.91
"756" 674.458 "wdc" 11.37
"757" 674.375 "neem" 9.61
"758" 674.375 "wdc" 15.458
"759" 674.292 "neem" 11.61
"760" 674.292 "wdc" 17.406
"761" 674.208 "neem" 13.59
"762" 674.208 "wdc" 10.484
"763" 674.125 "neem" 14.27
"764" 674.125 "wdc" 4.7576
"765" 674.042 "neem" 13.74
"766" 674.042 "wdc" 5.8461
"767" 673.958 "neem" 12.85
"768" 673.958 "wdc" 7.2938
"769" 673.875 "neem" 12.06
"770" 673.875 "wdc" 9.529
"771" 673.792 "neem" 11.83
"772" 673.792 "wdc" 9.0663
"773" 673.708 "neem" 12.02
"774" 673.708 "wdc" 8.8174
"775" 673.625 "neem" 12.24
"776" 673.625 "wdc" 9.4756
"777" 673.542 "neem" 12.5
"778" 673.542 "wdc" 10.728
"779" 673.458 "neem" 12.98
"780" 673.458 "wdc" 12.143
"781" 673.375 "neem" 13.41
"782" 673.375 "wdc" 13.043
"783" 673.292 "neem" 13.25
"784" 673.292 "wdc" 13.393
"785" 673.208 "neem" 13.28
"786" 673.208 "wdc" 13.156
"787" 673.125 "neem" 12.83
"788" 673.125 "wdc" 12.857
"789" 673.042 "neem" 11.71
"790" 673.042 "wdc" 12.179
"791" 672.958 "neem" 10.75
