"volcano_number" "volcano_name" "region" "subregion" "country" "latitude" "longitude" "tectonic_settings" "primary_volcano_type" "elevation" "last_eruption_year" "years_ago" "evidence_category" "population_within_5_km" "population_within_10_km" "population_within_30_km" "population_within_100_km" "major_rock_1" "major_rock_2" "major_rock_3" "major_rock_4" "major_rock_5" "minor_rock_1" "minor_rock_2" "minor_rock_3" "minor_rock_4" "minor_rock_5"
"49" 243060 "Tofua" "New Zealand to Fiji" "Tonga Islands" "Tonga" -19.75 -175.07 "Subduction zone / Oceanic crust (< 15 km)" "Caldera" 515 2014 6 "Eruption Observed" 1556 1556 1556 8789 "Andesite / Basaltic Andesite" "Dacite" " " " " " " " " " " " " " " " "
"50" 290150 "Chirpoi" "Kuril Islands" "Kuril Islands" "Russia" 46.532 150.871 "Subduction zone / Oceanic crust (< 15 km)" "Caldera" 742 2016 4 "Eruption Observed" 1 1 3 491 "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" "Dacite" " " " " " " " " " " " " " "
"51" 262000 "Krakatau" "Indonesia" "Krakatau" "Indonesia" -6.102 105.423 "Subduction zone / Continental crust (>25 km)" "Caldera" 155 2020 0 "Eruption Observed" 7177 7177 8027 6326159 "Andesite / Basaltic Andesite" "Dacite" "Basalt / Picro-Basalt" " " " " "Trachyte / Trachydacite" " " " " " " " "
"52" 273070 "Taal" "Philippines and SE Asia" "Luzon" "Philippines" 14.002 120.993 "Subduction zone / Continental crust (>25 km)" "Caldera" 311 2020 0 "Eruption Observed" 717090 717090 2380326 24814047 "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" "Dacite" " " " " "Rhyolite" " " " " " " " "
"53" 344100 "Masaya" "México and Central America" "Nicaragua" "Nicaragua" 11.985 -86.165 "Subduction zone / Continental crust (>25 km)" "Caldera" 594 2020 0 "Eruption Observed" 989888 989888 1914707 2926954 "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " "
"54" 282060 "Kikai" "Japan, Taiwan, Marianas" "Ryukyu Islands and Kyushu" "Japan" 30.793 130.305 "Subduction zone / Oceanic crust (< 15 km)" "Caldera" 704 2020 0 "Eruption Observed" 152 152 152 1002905 "Rhyolite" "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" " " " " " " " " " " " " " "
"55" 282080 "Aira" "Japan, Taiwan, Marianas" "Ryukyu Islands and Kyushu" "Japan" 31.593 130.657 "Subduction zone / Continental crust (>25 km)" "Caldera" 1117 2020 0 "Eruption Observed" 4918 113874 905254 2610033 "Andesite / Basaltic Andesite" "Dacite" "Rhyolite" " " " " " " " " " " " " " "
"56" 282110 "Asosan" "Japan, Taiwan, Marianas" "Ryukyu Islands and Kyushu" "Japan" 32.884 131.104 "Subduction zone / Continental crust (>25 km)" "Caldera" 1592 2020 0 "Eruption Observed" 75559 75559 234591 6507519 "Andesite / Basaltic Andesite" "Dacite" "Rhyolite" "Basalt / Picro-Basalt" " " " " " " " " " " " "
"57" 273080 "Laguna Caldera" "Philippines and SE Asia" "Luzon" "Philippines" 14.42 121.27 "Subduction zone / Continental crust (>25 km)" "Caldera" 743 NA NA "Unrest / Holocene" 625567 625567 7073814 26270664 "Andesite / Basaltic Andesite" "Trachyte / Trachydacite" "Dacite" "Basalt / Picro-Basalt" "Rhyolite" " " " " " " " " " "
"58" 343041 "Coatepeque Caldera" "México and Central America" "El Salvador and Honduras" "El Salvador" 13.87 -89.55 "Subduction zone / Continental crust (>25 km)" "Caldera" 746 NA NA "Evidence Credible" 616730 616730 1210307 6486011 "Rhyolite" "Dacite" "Andesite / Basaltic Andesite" " " " " "Trachyandesite / Basaltic Trachyandesite" "Basalt / Picro-Basalt" " " " " " "
"59" 261280 "Hulubelu" "Indonesia" "Sumatra" "Indonesia" -5.334 104.59 "Subduction zone / Continental crust (>25 km)" "Caldera" 849 NA NA "Unrest / Holocene" 56894 56894 99405 4261988 "Andesite / Basaltic Andesite" "Dacite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " "
"60" 211004 "Colli Albani" "Mediterranean and Western Asia" "Italy" "Italy" 41.73 12.7 "Subduction zone / Continental crust (>25 km)" "Caldera" 949 NA NA "Evidence Uncertain" 897039 897039 2962194 5330273 "Foidite" "Phono-tephrite /  Tephri-phonolite" " " " " " " "Trachybasalt / Tephrite Basanite" " " " " " " " "
"61" 268050 "Todoko-Ranu" "Indonesia" "Halmahera" "Indonesia" 1.25 127.47 "Subduction zone / Oceanic crust (< 15 km)" "Caldera" 979 NA NA "Evidence Credible" 366 10748 56900 631999 "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " " " "
