"volcano_number" "volcano_name" "eruption_number" "eruption_start_year" "event_number" "event_type" "event_remarks" "event_date_year" "event_date_month" "event_date_day"
"228" 341030 "Ceboruco" 10383 1870 100311 "Earthquakes (undefined)" "Before." NA NA NA
"229" 341040 "Colima" 10384 -7690 100313 "Explosion" NA NA NA NA
"230" 341040 "Colima" 10384 -7690 100314 "Edifice destroyed" "Collapse/avalanche" NA NA NA
"231" 341040 "Colima" 10384 -7690 100315 "Debris avalanches" NA NA NA NA
"232" 341040 "Colima" 10384 -7690 100316 "Pumice" NA NA NA NA
"233" 341040 "Colima" 10385 -7420 100318 "Explosion" NA NA NA NA
"234" 341040 "Colima" 10385 -7420 100319 "Pyroclastic flow" NA NA NA NA
"235" 341040 "Colima" 10386 -6320 100321 "Explosion" NA NA NA NA
"236" 341040 "Colima" 10386 -6320 100322 "Ash" NA NA NA NA
"237" 341040 "Colima" 10386 -6320 100323 "Scoria" NA NA NA NA
"238" 341040 "Colima" 10387 -5880 100325 "Explosion" NA NA NA NA
"239" 341040 "Colima" 10387 -5880 100326 "Pyroclastic flow" NA NA NA NA
"240" 341040 "Colima" 10388 -4960 100328 "Explosion" NA NA NA NA
"241" 341040 "Colima" 10388 -4960 100329 "Scoria" NA NA NA NA
"242" 341040 "Colima" 10388 -4960 100330 "Debris avalanches" "Uncertain" NA NA NA
"243" 341040 "Colima" 10389 -4500 100332 "Explosion" NA NA NA NA
"244" 341040 "Colima" 10389 -4500 100333 "Ash" NA NA NA NA
"245" 341040 "Colima" 10390 -4430 100335 "Explosion" NA NA NA NA
"246" 341040 "Colima" 10390 -4430 100336 "Pyroclastic flow" NA NA NA NA
"247" 341040 "Colima" 10391 -4110 100338 "Explosion" NA NA NA NA
"248" 341040 "Colima" 10391 -4110 100339 "Ash" NA NA NA NA
"249" 341040 "Colima" 10400 -1940 100341 "Debris avalanches" NA NA NA NA
"250" 341040 "Colima" 10401 -1890 100343 "Explosion" NA NA NA NA
"251" 341040 "Colima" 10401 -1890 100344 "Pumice" NA NA NA NA
"252" 341040 "Colima" 10402 -1450 100346 "Explosion" NA NA NA NA
"253" 341040 "Colima" 10402 -1450 100347 "Ash" NA NA NA NA
"254" 341040 "Colima" 10403 -1320 100349 "Explosion" NA NA NA NA
"255" 341040 "Colima" 10403 -1320 100350 "Pyroclastic flow" NA NA NA NA
"256" 341040 "Colima" 10404 -1170 100352 "Explosion" NA NA NA NA
"257" 341040 "Colima" 10404 -1170 100353 "Pyroclastic flow" NA NA NA NA
"258" 341040 "Colima" 10405 -1140 100355 "Explosion" NA NA NA NA
"259" 341040 "Colima" 10405 -1140 100356 "Pyroclastic flow" NA NA NA NA
"260" 341040 "Colima" 10406 -650 100358 "Explosion" NA NA NA NA
"261" 341040 "Colima" 10406 -650 100359 "Pyroclastic flow" NA NA NA NA
"262" 341040 "Colima" 10406 -650 100360 "Edifice destroyed" "Collapse/avalanche" NA NA NA
"263" 341040 "Colima" 10406 -650 100361 "Debris avalanches" NA NA NA NA
"264" 341040 "Colima" 10406 -650 100362 "Pumice" NA NA NA NA
"265" 341040 "Colima" 10407 540 100364 "Explosion" NA NA NA NA
"266" 341040 "Colima" 10407 540 100365 "Pyroclastic flow" NA NA NA NA
"267" 341040 "Colima" 10408 730 100367 "Explosion" NA NA NA NA
"268" 341040 "Colima" 10408 730 100368 "Pyroclastic flow" NA NA NA NA
"269" 341040 "Colima" 10409 1110 100370 "Explosion" NA NA NA NA
"270" 341040 "Colima" 10409 1110 100371 "Pyroclastic flow" NA NA NA NA
"271" 341040 "Colima" 10409 1110 100372 "Pumice" NA NA NA NA
"272" 343020 "Santa Ana" 10410 1884 100373 "Explosion" NA NA NA NA
"273" 343020 "Santa Ana" 10410 1884 100374 "Ash" "weak or small" NA NA NA
"274" 341040 "Colima" 10418 1611 100375 "Scoria" NA NA NA NA
"275" 341040 "Colima" 10418 1611 100376 "Pyroclastic flow" NA NA NA NA
"276" 341040 "Colima" 10418 1611 100377 "Earthquakes (undefined)" NA NA NA NA
"277" 341040 "Colima" 10419 1622 100379 "Explosion" "violent, strong, or large" NA NA NA
"278" 341040 "Colima" 10419 1622 100380 "Ash" NA NA NA NA
"279" 341040 "Colima" 10419 1622 100381 "Pyroclastic flow" NA NA NA NA
"280" 341040 "Colima" 10420 1690 100383 "Explosion" "violent, strong, or large" NA NA NA
"281" 341040 "Colima" 10420 1690 100384 "Ash" NA NA NA NA
"282" 341040 "Colima" 10420 1690 100385 "Pyroclastic flow" NA NA NA NA
"283" 341040 "Colima" 10420 1690 100386 "Earthquakes (undefined)" NA NA NA NA
"284" 341040 "Colima" 10421 1711 100388 "Explosion" NA NA NA NA
"285" 341040 "Colima" 10421 1711 100389 "Ash" NA NA NA NA
"286" 263280 "Kelut" 10422 1311 100392 "Explosion" NA NA NA NA
"287" 263280 "Kelut" 10422 1311 100393 "Property damage" "Uncertain" NA NA NA
"288" 263280 "Kelut" 10422 1311 100394 "Fatalities" "Uncertain" 1311 NA NA
"289" 263280 "Kelut" 10422 1311 100395 "Lahar or mudflow" "Uncertain" NA NA NA
"290" 263280 "Kelut" 10423 1334 100398 "Explosion" NA NA NA NA
"291" 263280 "Kelut" 10423 1334 100399 "Property damage" NA NA NA NA
"292" 263280 "Kelut" 10423 1334 100400 "Fatalities" NA 1334 NA NA
"293" 263280 "Kelut" 10423 1334 100401 "Lahar or mudflow" NA NA NA NA
"294" 341040 "Colima" 10424 1743 100403 "Explosion" NA NA NA NA
"295" 341040 "Colima" 10424 1743 100404 "Ash" NA NA NA NA
"296" 341040 "Colima" 10424 1743 100405 "Earthquakes (undefined)" NA NA NA NA
"297" 341040 "Colima" 10425 1744 100407 "Explosion" NA NA NA NA
"298" 341040 "Colima" 10425 1744 100408 "Ash" NA NA NA NA
"299" 341040 "Colima" 10435 1806 100409 "Ash" NA NA NA NA
"300" 341040 "Colima" 10435 1806 100410 "Pyroclastic flow" NA NA NA NA
"301" 6e+05 "Unknown Source" 13270 -4596 100411 "Explosion" NA NA NA NA
"302" 6e+05 "Unknown Source" 13271 -4564 100412 "Explosion" NA NA NA NA
"303" 6e+05 "Unknown Source" 13272 -4447 100413 "Explosion" NA NA NA NA
"304" 6e+05 "Unknown Source" 13273 -4411 100414 "Explosion" NA NA NA NA
"305" 6e+05 "Unknown Source" 13274 -4375 100415 "Explosion" NA NA NA NA
"306" 6e+05 "Unknown Source" 13275 -4037 100416 "Explosion" NA NA NA NA
"307" 6e+05 "Unknown Source" 13276 -4010 100417 "Explosion" NA NA NA NA
"308" 6e+05 "Unknown Source" 13277 -3977 100418 "Explosion" NA NA NA NA
"309" 6e+05 "Unknown Source" 13278 -3905 100419 "Explosion" NA NA NA NA
"310" 6e+05 "Unknown Source" 13279 -3195 100420 "Explosion" NA NA NA NA
"311" 6e+05 "Unknown Source" 13280 -2958 100421 "Explosion" NA NA NA NA
"312" 6e+05 "Unknown Source" 13281 -1695 100422 "Explosion" NA NA NA NA
"313" 6e+05 "Unknown Source" 13282 -1628 100423 "Explosion" NA NA NA NA
"314" 6e+05 "Unknown Source" 13283 -1623 100424 "Explosion" NA NA NA NA
"315" 6e+05 "Unknown Source" 13284 -1459 100425 "Explosion" NA NA NA NA
"316" 6e+05 "Unknown Source" 13285 -1454 100426 "Explosion" NA NA NA NA
"317" 6e+05 "Unknown Source" 13286 -1192 100427 "Explosion" NA NA NA NA
"318" 6e+05 "Unknown Source" 13287 -1150 100428 "Explosion" NA NA NA NA
"319" 6e+05 "Unknown Source" 13288 -1084 100429 "Explosion" NA NA NA NA
